"lat","lon","RSSI_1","RSSI_2","RSSI_3","RSSI_4","RSSI_5","RSSI_6"
-8.069998,-34.890099,-47.89,-82.04,-76.24,-70.04,-58.89,-76.49
-8.066068,-34.893543,-75.223333333333,-62.823333333333,-71.356666666667,-72.556666666667,-61.423333333333,-51.223333333333
-8.073301,-34.894028,-36.79,-53.09,-51.59,-40.49,-58.74,-54.69
-8.068464,-34.897129,-51.79,-67.19,-59.056666666667,-68.456666666667,-75.123333333333,-56.19
-8.069738,-34.890526,-64.523333333333,-83.49,-68.09,-63.123333333333,-52.09,-60.556666666667
-8.077021,-34.899487,-65.656666666667,-62.723333333333,-71.723333333333,-74.623333333333,-79.89,-85.256666666667
-8.070925,-34.891781,-46.34,-59.49,-69.29,-40.69,-42.79,-79.19
-8.068841,-34.897396,-58.14,-51.19,-52.49,-45.69,-67.34,-53.34
-8.071998,-34.890694,-49.756666666667,-71.19,-72.556666666667,-53.29,-44.5233333333333,-84.39
-8.065808,-34.890656,-80.756666666667,-81.89,-81.623333333333,-75.723333333333,-64.223333333333,-66.19
-8.063416,-34.886486,-66.69,-80.89,-85.323333333333,-78.156666666667,-85.723333333333,-89.79
-8.069642,-34.894775,-44.515,-66.015,-66.465,-58.765,-51.94,-56.165
-8.072535,-34.894344,-40.19,-60.323333333333,-49.723333333333,-46.223333333333,-56.923333333333,-72.656666666667
-8.062417,-34.887726,-77.756666666667,-80.256666666667,-85.19,-84.59,-83.723333333333,-91.79
-8.064126,-34.894524,-80.89,-47.123333333333,-64.423333333333,-80.79,-71.556666666667,-59.79
-8.076015,-34.899841,-68.99,-61.89,-64.29,-82.99,-82.69,-85.223333333333
-8.069718,-34.898018,-45.99,-65.39,-59.823333333333,-59.256666666667,-67.656666666667,-50.69
-8.068441,-34.896912,-50.99,-68.89,-64.323333333333,-56.023333333333,-65.723333333333,-58.59
-8.072932,-34.895802,-53.04,-63.79,-68.04,-55.49,-65.89,-66.14
